epoch,train_loss,val_loss,val_accuracy,val_f1_score
1,0.4965442479570842,0.2921217973232269,0.328,0.5195384211906635
2,0.14822770760472323,0.12410498891274134,0.5383333333333333,0.7220962459057697
3,0.10764898993223927,0.12130773282051087,0.5663333333333334,0.7440528085689376
4,0.09368023305694198,0.11108974705139796,0.5876666666666667,0.7769447047797563
5,0.08549121140347425,0.09758694918950399,0.6153333333333333,0.7949770586814779
6,0.07968184672177925,0.099586483558019,0.6193333333333333,0.8006066970015168
7,0.07468186004137282,0.13423868529001873,0.578,0.7531504818383988
8,0.07318488977201464,0.09322034458319346,0.622,0.8102088167053364
9,0.06567802665908878,0.09678491824865341,0.618,0.8060112423999082
10,0.06201568305722023,0.10050744136174519,0.6173333333333333,0.8095835710211067
11,0.05733440841848558,0.10316306589047114,0.6263333333333333,0.8100890207715133
12,0.05411182491227174,0.09423370361328125,0.6386666666666667,0.8235023571346441
13,0.049485584139461816,0.09910504150390625,0.6493333333333333,0.8230653208028773
14,0.04853182551083273,0.12278830244143804,0.637,0.8098174057386768
15,0.04576125052469292,0.12080467528104782,0.552,0.7779643231899266
16,0.038239188999564654,0.12522553197542827,0.629,0.8101146165662295
17,0.03570723133116126,1.3588770589828492,0.012333333333333333,0.21196924105650283
18,0.032256968647014175,0.21080882732073467,0.567,0.7596806862861909
19,0.030174878709198175,0.13223886015017827,0.6253333333333333,0.811314324662047
20,0.026189578211345942,0.13724440709749858,0.579,0.7791529465198138
21,0.02333911915073343,0.13216853547096252,0.635,0.8173933156007864
22,0.021886678920099163,0.13220241065820057,0.5853333333333334,0.7946178686759957
23,0.019629835552836917,0.13263994018236797,0.6323333333333333,0.8135826545829987
24,0.01806033002443094,0.13147135106722513,0.6303333333333333,0.8193462897526502
25,0.016277505955339396,0.13624807329972585,0.6496666666666666,0.8203420962002066
26,0.014846950229867279,0.14467028745015462,0.6336666666666667,0.8120110446387483
27,0.014135973833408607,0.14350065245230992,0.6223333333333333,0.8143897594350034
28,0.013058129894541783,0.16343858949343362,0.634,0.8206680116565792
29,0.013273831858186655,0.13280579157670339,0.6123333333333333,0.8050533652798955
30,0.011343446918574859,0.15328555218378703,0.639,0.8159375358824205
31,0.011300598140786641,0.15434743463993073,0.6383333333333333,0.8193577163247101
32,0.010124115242307751,0.15073381129900615,0.633,0.8151966827300235
33,0.010063701080193404,0.15523658327261608,0.6423333333333333,0.822622690694775
34,0.009698099923285753,0.1705521079301834,0.6363333333333333,0.8165210484511517
35,0.00962143668187055,0.17615470027923583,0.6403333333333333,0.8137963178746213
36,0.009697294252809949,0.1651766663789749,0.641,0.818327239488117
37,0.008621620385376175,0.1654252245426178,0.6353333333333333,0.8192204301075269
38,0.008363780521056748,0.160295071999232,0.628,0.8148648648648649
39,0.008548177144223715,0.18373313128948213,0.6313333333333333,0.8148576718352233
40,0.007650983578913661,0.16108007713158926,0.6226666666666667,0.8083287671232877
41,0.007025477504844815,0.18232730988661447,0.642,0.822632058287796
42,0.0075461135304783124,0.1687867435614268,0.632,0.8165588038384289
43,0.009451756310554138,0.17683667906125386,0.6326666666666667,0.8172883627429082
44,0.008008633469087775,0.28942568437258404,0.6093333333333333,0.7927631578947368
45,0.0070256127883838995,0.17562909491856893,0.6443333333333333,0.8258717660292464
46,0.007103212324027257,0.16918198251724242,0.6453333333333333,0.8226982168890883
47,0.006575211178683046,0.17885749745368956,0.6383333333333333,0.8213685743084332
48,0.006039147533033116,1.1365820395151773,0.46366666666666667,0.6167594871130683
49,0.005401519124947708,0.17957174317042032,0.6473333333333333,0.8234498308906426
50,0.005671860736152131,0.2196309100786845,0.6573333333333333,0.8235155790711346
51,0.0061289743565995525,0.2604759183327357,0.6293333333333333,0.8107544327268513
52,0.007355797363276534,0.22520455431938172,0.5033333333333333,0.7386617461396523
53,0.006642617654592982,0.19565651154518127,0.6446666666666667,0.8223889209463359
54,0.005923449934555024,0.20612444909413655,0.6436666666666667,0.8224342029651764
55,0.005605459443155104,0.20904881179332732,0.5666666666666667,0.789332784184514
56,0.005706126862387027,0.20172769872347515,0.655,0.8284489748638943
57,0.005304041593824758,0.18591096766789755,0.6406666666666667,0.8224865350089766
58,0.00472057376518914,0.2407590235074361,0.6416666666666667,0.8200320146352619
59,0.004833260098750158,0.1889889583190282,0.6473333333333333,0.8284143193805409
60,0.005029201340043451,0.19235649406909944,0.6526666666666666,0.8275318238143516
61,0.004709712591455278,0.22368933884302775,0.6553333333333333,0.8244525120037475
